USER_AGENT_FRAGMENT	USER_AGENT_SOURCE	EFFECTIVE_DATETIME
MERCATOR	ABCi	1/1/08 0:00
SPBOT/3	ABCi	6/1/11 0:00
8484 BOSTON PROJECT V 1.0	ABCi	10/1/08 0:00
INTERMAPPER	ABCi	1/1/08 0:00
ABOUNDEX	ABCi	10/1/13 0:00
CXENSEBOT	ABCi	10/1/13 0:00
WEBSITEPULSE	ABCi	10/1/13 0:00
WOCBOT	ABCi	12/1/12 0:00
ADNORMCRAWLER	ABCi	9/1/12 0:00
DIALER 2000	ABCi	1/1/08 0:00
WEBLYZARD	ABCi	10/1/13 0:00
SEARCH.KUMKIE.COM	ABCi	2/1/12 0:00
TOCRAWL/URLDISPATCHER	ABCi	1/1/08 0:00
RSS CLIENT	ABCi	10/1/13 0:00
Y!J-BRJ/YATS CRAWLER	ABCi	9/1/12 0:00
"IEAUTODISCOVERY,"	ABCi	1/1/08 0:00
WASALIVE BOT	ABCi	6/1/11 0:00
123PEOPLEBOT/1.0	ABCi	1/1/11 0:00
WILLOW INTERNET CRAWLER	ABCi	9/7/10 0:00
ALKALINEBOT	ABCi	1/1/08 0:00
THUMBSHOTS-DE-BOT	ABCi	2/1/12 0:00
WHATSUP	ABCi	1/1/08 0:00
SPRY_MOSAIC	ABCi	1/1/08 0:00
WEBLEACHER	ABCi	1/1/08 0:00
SKIMBOT	ABCi	9/1/12 0:00
NALANDA	ABCi	10/1/13 0:00
ISSUECRAWLER	ABCi	1/1/08 0:00
REMOTESEARCHMTSPIDER	ABCi	1/1/08 0:00
NPBOT	ABCi	1/1/08 0:00
WEPBOT	ABCi	10/1/13 0:00
JOOBLEBOT	ABCi	10/1/13 0:00
LOCUST	ABCi	10/1/13 0:00
WEBBANDIT	ABCi	1/1/08 0:00
"OVERTURE SERVICES, INC."	ABCi	1/1/08 0:00
ARACHNIA	ABCi	1/1/08 0:00
QROBO_ENEWS_ROBOT	ABCi	1/1/11 0:00
NOXTRUMBOT/1.0 (CRAWLER@NOXTRUM.COM)	ABCi	1/1/08 0:00
WEBLAYERS	ABCi	1/1/08 0:00
USEIT	ABCi	1/1/08 0:00
PLUKKIE/1.3	ABCi	1/1/11 0:00
BIGBRAIN	ABCi	1/1/08 0:00
HANDCLIP/1.0	ABCi	1/1/08 0:00
RSS+CLIENT	ABCi	10/1/13 0:00
PAGERIPPER	ABCi	10/7/10 0:00
ICHIRO	ABCi	2/1/12 0:00
ABOUNDEX/0.2	ABCi	2/1/13 0:00
